fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP,CSENT,Interest_rate,Inflation
2022,3,8,31,Industrial Commercial Transportation,Americas,H94,Leavyseal,133469.0,313041.87,25723.941,58.2,,5.991705
2021,3,9,37,Industrial Commercial Transportation,Americas,N73,HDSCS,510625.0,265356.93,23550.42,72.8,,2.638383
2021,2,4,17,Industrial Commercial Transportation,Americas,N09,AMP MCP - Terminals,2269700.0,87761.43,23046.934,88.3,0.25,2.262331
2022,1,1,1,Industrial Commercial Transportation,Americas,J96,Unsealed Connectors,346164.0,123333.97,24740.48,67.2,,3.988659
2021,1,3,10,Industrial Commercial Transportation,Americas,J96,Unsealed Connectors,432243.0,130116.1,22313.85,84.9,0.25,1.706984
2021,2,4,17,Industrial Commercial Transportation,Americas,J96,Unsealed Connectors,386927.0,127279.04,23046.934,88.3,0.25,2.262331
2019,2,5,21,Industrial Commercial Transportation,Americas,N09,AMP MCP - Terminals,4434200.0,222262.82,21272.448,100.0,3.0,2.39723
2017,3,8,34,Industrial Commercial Transportation,Americas,N09,AMP MCP - Terminals,2821600.0,119618.11,19561.896,96.8,1.75,2.089832
2017,2,6,26,Industrial Commercial Transportation,Americas,J43,HDP,200706.0,680833.48,19304.506,95.0,1.75,2.13853
2019,1,2,8,Industrial Commercial Transportation,Americas,N09,AMP MCP - Terminals,1303200.0,55875.87,21013.085,93.8,3.0,2.376648
2018,1,3,12,Industrial Commercial Transportation,Americas,N09,AMP MCP - Terminals,1585300.0,98331.04,20155.486,101.4,2.25,2.369197
2015,1,2,9,Industrial Commercial Transportation,Americas,H94,Leavyseal,35029.0,79666.92,17991.348,95.4,0.75,1.9819969
2019,1,2,9,Industrial Commercial Transportation,Americas,J12,Superseal,460988.0,147108.11,21013.085,93.8,3.0,2.376648
2017,2,5,18,Industrial Commercial Transportation,Americas,N09,AMP MCP - Terminals,1175000.0,48469.0,19304.506,97.1,1.5,2.155911
2015,2,6,25,Industrial Commercial Transportation,Americas,J43,HDP,219287.0,700252.99,18193.707,96.1,0.75,2.1147326
2015,2,5,22,Industrial Commercial Transportation,Americas,J96,Unsealed Connectors,303059.0,87093.42,18193.707,90.7,0.75,2.0668869
2016,1,3,10,Industrial Commercial Transportation,Americas,J12,Superseal,354557.0,66569.43,18425.306,91.0,1.0,2.531878
2019,1,2,7,Industrial Commercial Transportation,Americas,J63,Solid Contacts,2609630.0,567868.87,21013.085,93.8,3.0,2.376648
2018,4,12,51,Industrial Commercial Transportation,Americas,J63,Solid Contacts,2500592.0,625011.94,20819.269,98.3,3.0,2.46437
2015,4,10,42,Industrial Commercial Transportation,Americas,J44,HD10,44324.0,93124.99,18332.079,90.0,0.75,2.3462109
2016,3,8,31,Industrial Commercial Transportation,Americas,J44,HD10,56716.0,121643.31,18775.459,89.8,1.0,2.7228064
2019,1,1,3,Industrial Commercial Transportation,Americas,H83,Heavy Duty Commercial,39088.0,215002.67,21013.085,91.2,3.0,2.385533
2020,3,7,30,Industrial Commercial Transportation,Americas,N41,AMPSEAL 16 Terminals,432410.0,40214.92,21362.428,72.5,0.25,2.348857
2021,2,6,25,Industrial Commercial Transportation,Americas,H95,DTM,1015163.0,450096.05,23046.934,85.5,0.25,2.588579
2021,1,1,2,Industrial Commercial Transportation,Americas,J44,HD10,35840.0,83181.52,22313.85,79.0,0.25,1.517012
