fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value
2022,1,1,3,"Aerospace, Defense & Marine",Americas,JC8,"38999 Series II, IV and 1760",1808.0,43675.14,26144.956
2021,4,12,50,"Aerospace, Defense & Marine",Americas,JD8,Signal,3229384.0,480878.61,23550.42
2021,1,2,7,"Aerospace, Defense & Marine",Americas,D51,Special Military and Fifth Size Relays,1851.0,401826.14,24349.121
2021,4,10,40,"Aerospace, Defense & Marine",Americas,K42,Quadrax Products,397.0,7822.42,23550.42
2022,4,12,52,"Aerospace, Defense & Marine",Americas,LT6,Dry Mate Connector,862.0,423298.18,25723.941
2022,1,2,8,"Aerospace, Defense & Marine",Americas,LT7,Wet Pluggable Components,662.0,48442.5,26144.956
2022,4,12,49,"Aerospace, Defense & Marine",Americas,K80,Rochester Wire,323951.0,429326.75,25723.941
2021,1,1,2,"Aerospace, Defense & Marine",Americas,F39,Hartman DC Contactors,204.0,162613.26,24349.121
2021,1,2,7,"Aerospace, Defense & Marine",Americas,291,Systems Integrated  Products,384.0,96148.34,24349.121
2021,2,5,20,"Aerospace, Defense & Marine",Americas,291,Systems Integrated  Products,3623.0,184910.4,22313.85
2016,4,10,43,"Aerospace, Defense & Marine",Americas,746,Flex Power Cable,12559.284,265201.29,18775.459
2019,3,8,33,"Aerospace, Defense & Marine",Americas,728,General Multicore W & C,8021.421,185263.74,21272.448
2017,4,10,43,"Aerospace, Defense & Marine",Americas,728,General Multicore W & C,42107.511,328278.18,19561.896
2017,3,9,38,"Aerospace, Defense & Marine",Americas,586,Controlled Electrical,23723.497,139736.86,19304.506
2015,4,10,43,"Aerospace, Defense & Marine",Americas,746,Flex Power Cable,10489.997,249232.18,18306.96
2015,3,8,34,"Aerospace, Defense & Marine",Americas,586,Controlled Electrical,57808.674,266285.63,18193.707
2016,1,2,7,"Aerospace, Defense & Marine",Americas,JD8,Signal,1675086.0,316701.96,18968.041
2017,1,2,8,"Aerospace, Defense & Marine",Americas,JD8,Signal,108639.0,40668.59,19894.75
