fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value,CSENT,Interest_rate,Inflation
2022,2,6,25,Appliances,Americas,217,Ultra-Fast,11248825.0,500725.7,24740.48,50.0,,5.422337
2021,1,3,11,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,22103378.0,802197.16,24349.121,84.9,0.25,1.706984
2021,4,11,44,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,16869316.0,814120.26,23550.42,67.4,,3.21432
2021,2,5,22,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1426290.0,120461.58,22313.85,82.9,0.25,2.623164
2021,4,12,52,Appliances,Americas,104,MTA 100 & CSTII 100,3218849.0,262696.72,23550.42,70.6,,3.484143
2022,3,8,31,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,36503208.0,1192334.93,25248.476,58.2,,5.991705
2022,4,10,43,Appliances,Americas,326,FASTIN-FASTON,1977572.0,88199.99,25723.941,59.9,,6.364809
2022,2,5,20,Appliances,Americas,607,DW-All Other Dual Wall,778361.0,252059.71,24740.48,58.4,,4.985582
2022,2,6,23,Appliances,Americas,607,DW-All Other Dual Wall,227328.0,129968.3,24740.48,50.0,,5.422337
2021,4,11,45,Appliances,Americas,327,Positive Lock,6659489.0,168056.16,23550.42,67.4,,3.21432
2021,2,6,25,Appliances,Americas,JJ4,RAST 5 non-IDC,1989693.0,129834.72,22313.85,85.5,0.25,2.588579
2021,3,8,32,Appliances,Americas,100,Economy Power,4006305.0,89000.96,23046.934,70.3,0.25,2.343064
2021,3,8,33,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1127597.0,108014.86,23046.934,70.3,0.25,2.343064
2020,4,12,51,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,33716684.0,600385.22,21362.428,80.7,0.25,1.716599
2020,2,4,15,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,19666042.0,357533.88,21538.032,71.8,0.25,2.226352
2020,4,11,47,Appliances,Americas,607,DW-All Other Dual Wall,546757.0,190628.23,21362.428,76.9,0.25,1.798587
2016,4,10,42,Appliances,Americas,766,DW-ES/Auto Splice Seal,441095.0,44479.39,18775.459,87.2,1.0,2.5095184
2019,1,3,11,Appliances,Americas,766,DW-ES/Auto Splice Seal,2138776.0,145940.83,21706.532,98.4,3.0,2.399684
2019,1,3,13,Appliances,Americas,104,MTA 100 & CSTII 100,1206542.0,164379.04,21706.532,98.4,3.0,2.399684
2015,4,10,43,Appliances,Americas,104,MTA 100 & CSTII 100,4939415.0,177624.44,18306.96,90.0,0.75,2.3462109
2018,3,8,32,Appliances,Americas,095,Appliance Connectors,580000.0,53196.25,20470.197,96.2,2.5,2.432878
2018,4,10,42,Appliances,Americas,Z27,Relay T92,15210.0,39692.76,20687.278,98.6,2.75,2.414988
2017,1,3,10,Appliances,Americas,Z27,Relay T92,300.0,1272.6,19894.75,96.9,1.5,2.453344
2015,3,7,27,Appliances,Americas,327,Positive Lock,2890984.0,52116.97,18193.707,93.1,0.75,2.1414477
2018,2,6,25,Appliances,Americas,Z27,Relay T92,23820.0,59603.94,20155.486,98.2,2.5,2.553219
2021,2,4,15,Appliances,Americas,G59,Appliance Miniature PCB Relays,31733.0,11415.47,22313.85,88.3,0.25,2.262331
2021,4,10,40,Appliances,Americas,442,Power Key 5.0,2879600.0,89019.99,23550.42,71.7,,3.035619
2021,4,12,49,Appliances,Americas,715,Polyolefins ETC,1760459.4,142254.63,23550.42,70.6,,3.484143
2022,4,10,40,Appliances,Americas,518,AMP Univ. and Power Double Lock,3372623.0,99470.76,25723.941,59.9,,6.364809
2022,3,8,32,Appliances,Americas,G31,VAL-U-LOK,1704152.0,105386.11,25248.476,58.2,,5.991705
2020,1,1,1,Appliances,Americas,104,MTA 100 & CSTII 100,1713262.0,91470.47,21704.706,99.8,2.25,2.797067
2020,3,9,36,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,13622886.0,553035.38,19636.731,80.4,0.25,2.077391
2020,4,11,47,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,2614900.0,109177.38,21362.428,76.9,0.25,1.798587
2020,4,10,42,Appliances,Americas,766,DW-ES/Auto Splice Seal,1983991.0,169937.43,21362.428,81.8,0.25,1.842159
2020,4,11,45,Appliances,Americas,J35,Power Triple Lock,4868870.0,192759.98,21362.428,76.9,0.25,1.798587
2021,3,9,36,Appliances,Americas,518,AMP Univ. and Power Double Lock,4955097.0,87546.76,23046.934,72.8,,2.638383
2019,4,10,42,Appliances,Americas,G59,Appliance Miniature PCB Relays,74203.0,26938.76,21531.839,95.5,2.25,2.733341
2015,2,6,24,Appliances,Americas,G31,VAL-U-LOK,2767503.0,31377.11,17991.348,96.1,0.75,2.1147326
2019,3,9,39,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,16408157.0,907255.55,21272.448,93.2,2.5,2.606767
2015,3,8,32,Appliances,Americas,G31,VAL-U-LOK,1327971.0,38040.52,18193.707,91.9,0.75,2.1802398
2016,4,11,47,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,2546566.0,167181.52,18775.459,93.8,1.0,2.5258013
2015,2,5,19,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,2327877.0,216185.4,17991.348,90.7,0.75,2.0668869
2019,3,7,30,Appliances,Americas,103,MTA & SL 156,1748156.0,96325.75,21272.448,98.4,3.0,2.460848
2019,2,4,16,Appliances,Americas,G59,Appliance Miniature PCB Relays,171226.0,86566.0,21013.085,97.2,3.0,2.407927
2015,3,9,37,Appliances,Americas,100,Economy Power,1280888.0,27992.42,18193.707,87.2,0.75,2.279431
2018,3,7,27,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1129035.0,94821.69,20470.197,97.9,2.5,2.519634
2018,1,1,4,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,3246740.0,156079.63,20819.269,95.7,2.0,2.166305
2015,4,11,46,Appliances,Americas,518,AMP Univ. and Power Double Lock,1972620.0,46715.71,18306.96,91.3,0.75,2.4052606
2015,4,11,48,Appliances,Americas,094,"Pins, Plugs and Receptacles",1165750.0,11703.56,18306.96,91.3,0.75,2.4052606
2015,3,8,33,Appliances,Americas,212,Open Barrel Rings & Spades,6579760.0,155433.21,18193.707,91.9,0.75,2.1802398
2015,4,11,44,Appliances,Americas,607,DW-All Other Dual Wall,770267.458,189772.96,18306.96,91.3,0.75,2.4052606
2018,2,4,15,Appliances,Americas,213,Miscellaneous Open Barrel Products,3121150.0,51184.23,20155.486,98.8,2.25,2.493423
2016,3,8,34,Appliances,Americas,094,"Pins, Plugs and Receptacles",2415199.0,52426.0,18611.617,89.8,1.0,2.7228064
2017,2,4,15,Appliances,Americas,JJ4,RAST 5 non-IDC,1333785.0,79988.03,19148.194,97.0,1.5,2.25217
2019,4,12,49,Appliances,Americas,607,DW-All Other Dual Wall,698621.76,190127.88,21531.839,99.3,2.25,2.746361
2015,1,2,5,Appliances,Americas,094,"Pins, Plugs and Receptacles",1170750.0,4007.39,18332.079,95.4,0.75,1.9819969
2016,4,12,51,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,3549413.0,130511.04,18775.459,98.2,1.25,2.594944
2017,1,2,6,Appliances,Americas,217,Ultra-Fast,5502600.0,223312.81,19894.75,96.3,1.25,2.67446
2015,3,8,31,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,21258556.0,469290.43,18193.707,91.9,0.75,2.1802398
2016,4,12,53,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,46737171.0,880471.84,18775.459,98.2,1.25,2.594944
2017,2,6,24,Appliances,Americas,G50,Ultra-Pod FASTON Receptacles and Tabs,1942586.0,72438.27,19148.194,95.0,1.75,2.13853
2016,4,11,48,Appliances,Americas,327,Positive Lock,4330439.0,85654.42,18775.459,93.8,1.0,2.5258013
2016,1,1,2,Appliances,Americas,214,FASTON Terminals - Premier & Commercial,12261570.0,200357.13,18968.041,92.0,1.0,2.4667222
2018,2,6,25,Appliances,Americas,213,Miscellaneous Open Barrel Products,4053670.0,64848.31,20155.486,98.2,2.5,2.553219
2015,1,3,12,Appliances,Americas,JJ4,RAST 5 non-IDC,2862648.0,132090.54,18332.079,93.0,0.75,1.9991371
2019,1,3,12,Appliances,Americas,212,Open Barrel Rings & Spades,4452368.0,88028.3,21706.532,98.4,3.0,2.399684
2018,1,1,3,Appliances,Americas,213,Miscellaneous Open Barrel Products,4889950.0,66893.93,20819.269,95.7,2.0,2.166305
2019,1,2,9,Appliances,Americas,213,Miscellaneous Open Barrel Products,4331873.0,62175.94,21706.532,93.8,3.0,2.376648
2018,1,2,7,Appliances,Americas,JJ4,RAST 5 non-IDC,2187834.0,100808.15,20819.269,99.7,2.0,2.131896
2016,4,12,50,Appliances,Americas,094,"Pins, Plugs and Receptacles",2480000.0,57602.49,18775.459,98.2,1.25,2.594944
2018,3,7,29,Appliances,Americas,213,Miscellaneous Open Barrel Products,4331875.0,53826.83,20470.197,97.9,2.5,2.519634
2018,4,12,51,Appliances,Americas,103,MTA & SL 156,3930850.0,148982.26,20687.278,98.3,3.0,2.46437
2017,3,8,34,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,17165538.0,816649.89,19304.506,96.8,1.75,2.089832
2018,3,9,36,Appliances,Americas,G59,Appliance Miniature PCB Relays,92509.0,40602.55,20470.197,100.1,2.75,2.461933
2018,2,6,26,Appliances,Americas,G59,Appliance Miniature PCB Relays,46003.0,25693.42,20155.486,98.2,2.5,2.553219
2017,3,9,39,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,2354922.0,260529.26,19304.506,95.1,1.75,2.106697
2017,4,11,44,Appliances,Americas,103,MTA & SL 156,3072063.0,103649.51,19561.896,98.5,1.75,2.115031
2016,3,9,36,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,1662820.0,154621.67,18611.617,91.2,1.0,2.6321032
2017,3,7,27,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,11145694.0,489495.5,19304.506,93.4,1.75,2.146769
2016,3,8,34,Appliances,Americas,100,Economy Power,1278053.0,25524.42,18611.617,89.8,1.0,2.7228064
2018,2,5,19,Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,2372754.0,318359.27,20155.486,98.0,2.25,2.544991
2018,4,11,47,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,2540682.0,108239.1,20687.278,97.5,2.75,2.476794
2019,1,2,8,Appliances,Americas,103,MTA & SL 156,4270290.0,206034.92,21706.532,93.8,3.0,2.376648
2015,4,12,52,Appliances,Americas,J35,Power Triple Lock,1172900.0,57579.69,18306.96,92.6,1.0,2.4436874
2015,3,9,37,Appliances,Americas,223,AMPLIVAR,13501500.0,106703.55,18193.707,87.2,0.75,2.279431
2019,4,12,50,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,14865248.0,555108.64,21531.839,99.3,2.25,2.746361
2018,1,1,2,Appliances,Americas,103,MTA & SL 156,2822252.0,163500.26,20819.269,95.7,2.0,2.166305
2017,2,6,25,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,2259193.0,82161.62,19148.194,95.0,1.75,2.13853
2017,4,11,48,Appliances,Americas,223,AMPLIVAR,6272100.0,48812.56,19561.896,98.5,1.75,2.115031
2018,1,2,6,Appliances,Americas,236,Universal  MATE-N-LOK Connectors,14517679.0,591074.61,20819.269,99.7,2.0,2.131896
2017,2,5,21,Appliances,Americas,100,Economy Power,1733892.0,20878.37,19148.194,97.1,1.5,2.155911
2018,3,7,28,Appliances,Americas,103,MTA & SL 156,6544209.0,217071.45,20470.197,97.9,2.5,2.519634
2018,2,4,17,Appliances,Americas,237,Commercial MATE-N-LOK Connectors,3249311.0,166153.32,20155.486,98.8,2.25,2.493423
2017,2,6,26,Appliances,Americas,100,Economy Power,1803331.0,55330.95,19148.194,95.0,1.75,2.13853
2015,3,8,35,Appliances,Americas,J35,Power Triple Lock,644550.0,31796.15,18193.707,91.9,0.75,2.1802398
2015,2,6,26,Appliances,Americas,J35,Power Triple Lock,560450.0,16292.16,17991.348,96.1,0.75,2.1147326
2018,3,8,34,Appliances,Americas,518,AMP Univ. and Power Double Lock,2156712.0,36252.55,20470.197,96.2,2.5,2.432878
2019,1,3,10,Appliances,Americas,518,AMP Univ. and Power Double Lock,2585612.0,79478.81,21706.532,98.4,3.0,2.399684
2016,1,1,4,Appliances,Americas,100,Economy Power,941192.0,25841.66,18968.041,92.0,1.0,2.4667222
