fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount
2022,3,8,34,Appliances,EMEA,607,DW-All Other Dual Wall,45295.000,63782.93
2021,2,4,16,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1384000.000,98948.21
2017,1,1,2,Appliances,EMEA,217,Ultra-Fast,302800.000,17758.43
2015,2,4,15,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,3505215.000,170463.32
2018,4,11,45,Appliances,EMEA,Z24,Relay RZ-Series,209300.000,88884.01
2016,2,5,20,Appliances,EMEA,G60,Relay RT-Series,122075.000,76335.39
2017,1,1,2,Appliances,EMEA,G60,Relay RT-Series,68650.000,41199.27
2021,3,8,35,Appliances,EMEA,A07,Faston Power Relays,127316.000,112094.40
2021,3,9,39,Appliances,EMEA,A07,Faston Power Relays,41994.000,60173.01
2021,4,10,40,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,2795300.000,265732.18
2021,4,10,41,Appliances,EMEA,607,DW-All Other Dual Wall,143140.000,132190.89
2021,2,6,24,Appliances,EMEA,239,MICRO MATE-N-LOK,744847.000,66845.83
2021,1,2,8,Appliances,EMEA,344,Hermetic Cluster Blocks,782000.000,27282.96
2021,2,6,23,Appliances,EMEA,405,RAST 2.5 Connectors,6127032.000,304005.03
2021,1,2,7,Appliances,EMEA,686,Single Wall Fluoropolymers HP,15180.000,14893.22
2020,3,7,30,Appliances,EMEA,JJ4,RAST 5 non-IDC,1321150.000,138270.61
2020,2,6,24,Appliances,EMEA,405,RAST 2.5 Connectors,5741888.000,271073.82
2020,4,11,45,Appliances,EMEA,G59,Appliance Miniature PCB Relays,113520.000,33022.63
2020,1,2,7,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,6048500.000,131983.40
2020,1,2,7,Appliances,EMEA,Z24,Relay RZ-Series,549035.000,227432.11
2015,1,3,11,Appliances,EMEA,A07,Faston Power Relays,54594.000,87391.93
2015,2,5,18,Appliances,EMEA,A07,Faston Power Relays,190590.000,197791.80
2019,4,12,50,Appliances,EMEA,A07,Faston Power Relays,119968.000,129178.37
2019,3,9,38,Appliances,EMEA,JK1,RAST Machines,0.000,-1522875.00
2016,3,8,35,Appliances,EMEA,Z34,Relay Special up to 8A,261900.000,65029.87
2016,1,3,12,Appliances,EMEA,239,MICRO MATE-N-LOK,444794.000,41220.06
2017,2,6,24,Appliances,EMEA,N05,Timer - Terminals,1370600.000,50372.77
2015,3,8,35,Appliances,EMEA,N05,Timer - Terminals,710750.000,26768.48
2018,1,1,1,Appliances,EMEA,607,DW-All Other Dual Wall,48704.000,79763.48
2019,1,1,2,Appliances,EMEA,607,DW-All Other Dual Wall,47315.000,66514.86
2018,3,8,32,Appliances,EMEA,JK1,RAST Machines,3.000,904.66
2019,1,2,6,Appliances,EMEA,405,RAST 2.5 Connectors,4036616.000,209311.44
2019,2,5,19,Appliances,EMEA,405,RAST 2.5 Connectors,4640480.000,224627.95
2017,3,7,29,Appliances,EMEA,607,DW-All Other Dual Wall,53069.000,62928.10
2018,2,6,23,Appliances,EMEA,607,DW-All Other Dual Wall,139039.000,89460.32
2018,2,5,20,Appliances,EMEA,224,MAG-MATE,4095000.000,84112.15
2017,4,10,43,Appliances,EMEA,G59,Appliance Miniature PCB Relays,120000.000,36375.01
2017,1,3,10,Appliances,EMEA,344,Hermetic Cluster Blocks,1673200.000,44200.59
2015,4,10,42,Appliances,EMEA,N02,MQS - Connectors,107900.000,11683.45
2018,1,3,12,Appliances,EMEA,326,FASTIN-FASTON,1755500.000,83501.04
2019,4,12,51,Appliances,EMEA,715,Polyolefins ETC,87411.770,38564.38
2018,3,8,35,Appliances,EMEA,JJ4,RAST 5 non-IDC,1571850.000,101167.93
2017,1,2,5,Appliances,EMEA,JJ4,RAST 5 non-IDC,615140.000,29566.48
2017,2,5,20,Appliances,EMEA,217,Ultra-Fast,173500.000,14785.31
2017,2,4,14,Appliances,EMEA,405,RAST 2.5 Connectors,4010700.000,238256.41
2017,4,12,52,Appliances,EMEA,607,DW-All Other Dual Wall,15115.600,32600.73
2018,3,9,37,Appliances,EMEA,G59,Appliance Miniature PCB Relays,262780.000,70792.17
2018,2,5,19,Appliances,EMEA,405,RAST 2.5 Connectors,3893144.000,202564.61
2015,2,4,14,Appliances,EMEA,344,Hermetic Cluster Blocks,345750.000,35197.35
2015,1,1,1,Appliances,EMEA,607,DW-All Other Dual Wall,201134.000,99060.41
2019,2,6,24,Appliances,EMEA,344,Hermetic Cluster Blocks,3533300.000,78765.32
2016,4,10,41,Appliances,EMEA,224,MAG-MATE,8391952.000,171849.79
2019,4,11,44,Appliances,EMEA,217,Ultra-Fast,80000.000,7252.01
2017,2,5,22,Appliances,EMEA,715,Polyolefins ETC,526439.000,94644.67
2017,3,9,36,Appliances,EMEA,715,Polyolefins ETC,384790.400,75348.48
2019,4,10,40,Appliances,EMEA,344,Hermetic Cluster Blocks,793000.000,21069.41
2018,1,3,11,Appliances,EMEA,G59,Appliance Miniature PCB Relays,208000.000,60846.44
2017,4,11,47,Appliances,EMEA,344,Hermetic Cluster Blocks,3827000.000,77335.68
2019,3,7,29,Appliances,EMEA,A07,Faston Power Relays,91862.000,122530.24
2016,2,5,19,Appliances,EMEA,A07,Faston Power Relays,170052.000,167852.23
2018,4,11,48,Appliances,EMEA,A07,Faston Power Relays,159819.000,159172.50
2015,1,2,6,Appliances,EMEA,A07,Faston Power Relays,161288.000,162660.29
2019,4,10,40,Appliances,EMEA,A07,Faston Power Relays,69752.000,65980.77
2018,4,10,43,Appliances,EMEA,Z34,Relay Special up to 8A,16800.000,5999.51
2016,1,2,9,Appliances,EMEA,N02,MQS - Connectors,249400.000,24114.67
2019,2,5,22,Appliances,EMEA,N02,MQS - Connectors,672183.000,54988.17
2017,4,11,48,Appliances,EMEA,239,MICRO MATE-N-LOK,270625.000,39798.35
2017,1,1,1,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,2585505.000,89044.90
2022,4,11,48,Appliances,EMEA,N02,MQS - Connectors,426104.000,35684.54
2021,4,12,51,Appliances,EMEA,327,Positive Lock,2652600.000,88007.16
2022,4,11,44,Appliances,EMEA,104,MTA 100 & CSTII 100,1753600.000,124448.08
2022,4,11,46,Appliances,EMEA,344,Hermetic Cluster Blocks,195040.000,23676.13
2020,2,4,15,Appliances,EMEA,715,Polyolefins ETC,552620.960,178959.68
2021,1,3,11,Appliances,EMEA,Z24,Relay RZ-Series,232350.000,95758.38
2021,1,3,10,Appliances,EMEA,G59,Appliance Miniature PCB Relays,399000.000,86296.58
2022,2,6,23,Appliances,EMEA,326,FASTIN-FASTON,2076700.000,115266.16
2022,3,8,35,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,9175115.000,234527.87
2021,4,10,42,Appliances,EMEA,394,RAST 5 Connectors,4055283.000,318983.82
2021,4,11,48,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,2385200.000,220769.55
2021,1,3,10,Appliances,EMEA,344,Hermetic Cluster Blocks,2925000.000,65099.69
2015,4,12,51,Appliances,EMEA,224,MAG-MATE,3737000.000,86447.55
2017,2,4,17,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,3497532.000,213020.78
2019,4,10,41,Appliances,EMEA,239,MICRO MATE-N-LOK,1046968.000,68873.30
2019,2,5,19,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,5773600.000,173102.44
2019,1,3,12,Appliances,EMEA,394,RAST 5 Connectors,2955612.000,213928.65
2016,3,9,39,Appliances,EMEA,JJ4,RAST 5 non-IDC,1994640.000,105262.71
2019,3,7,28,Appliances,EMEA,327,Positive Lock,2078900.000,47143.78
2017,2,6,25,Appliances,EMEA,JJ4,RAST 5 non-IDC,1003100.000,62754.15
2017,3,8,33,Appliances,EMEA,G59,Appliance Miniature PCB Relays,145000.000,35408.77
2018,4,12,51,Appliances,EMEA,104,MTA 100 & CSTII 100,1676100.000,60856.04
2021,3,9,38,Appliances,EMEA,686,Single Wall Fluoropolymers HP,50553.000,60755.89
2022,3,9,38,Appliances,EMEA,239,MICRO MATE-N-LOK,508876.000,53479.72
2021,4,11,44,Appliances,EMEA,405,RAST 2.5 Connectors,5856416.000,326845.95
2022,4,10,40,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,5682760.000,298065.94
2022,4,10,41,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,1342600.000,77857.36
2022,1,1,4,Appliances,EMEA,217,Ultra-Fast,602400.000,46011.84
2021,4,11,44,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,3302600.000,209707.93
2021,1,2,7,Appliances,EMEA,239,MICRO MATE-N-LOK,591388.000,42367.14
2022,3,9,37,Appliances,EMEA,715,Polyolefins ETC,212132.000,106095.07
2019,3,9,39,Appliances,EMEA,G60,Relay RT-Series,39600.000,30438.73
2015,1,3,10,Appliances,EMEA,239,MICRO MATE-N-LOK,452560.000,29024.86
2017,2,5,22,Appliances,EMEA,405,RAST 2.5 Connectors,6584864.000,348229.83
2019,3,8,34,Appliances,EMEA,239,MICRO MATE-N-LOK,333640.000,31645.69
2017,1,3,11,Appliances,EMEA,239,MICRO MATE-N-LOK,674453.000,40144.17
2022,3,7,29,Appliances,EMEA,Z34,Relay Special up to 8A,100800.000,28515.24
2022,4,12,51,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1527900.000,199703.64
2022,1,3,11,Appliances,EMEA,JJ4,RAST 5 non-IDC,1823650.000,125667.89
2020,2,5,18,Appliances,EMEA,607,DW-All Other Dual Wall,50142.000,43084.21
2021,2,4,16,Appliances,EMEA,JK1,RAST Machines,2.000,1383.99
2021,3,8,34,Appliances,EMEA,607,DW-All Other Dual Wall,136972.000,45242.07
2021,3,7,30,Appliances,EMEA,JJ4,RAST 5 non-IDC,2415300.000,123672.79
2022,2,5,21,Appliances,EMEA,394,RAST 5 Connectors,3921880.000,333122.09
2020,4,10,42,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,533120.000,93307.23
2018,1,1,3,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,5370500.000,273049.23
2018,1,1,3,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,572100.000,59199.67
2017,4,10,42,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,705887.000,48503.46
2018,3,8,34,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,5331190.000,352794.58
2019,3,9,37,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,7970965.000,304552.45
2019,2,5,18,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,2297000.000,178608.46
2018,1,1,1,Appliances,EMEA,N02,MQS - Connectors,90580.000,15426.26
2017,1,1,3,Appliances,EMEA,JK1,RAST Machines,4.000,487818.14
2015,3,8,31,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,175100.000,24222.18
2017,2,6,24,Appliances,EMEA,239,MICRO MATE-N-LOK,493667.000,38179.56
2017,2,6,23,Appliances,EMEA,405,RAST 2.5 Connectors,4925432.000,243715.93
2016,3,9,37,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,492300.000,42031.14
2017,3,9,37,Appliances,EMEA,405,RAST 2.5 Connectors,5313236.000,267463.83
2015,3,7,28,Appliances,EMEA,236,Universal  MATE-N-LOK Connectors,2332570.000,132715.65
2018,1,2,9,Appliances,EMEA,JJ4,RAST 5 non-IDC,1517240.000,100291.51
2019,3,7,30,Appliances,EMEA,405,RAST 2.5 Connectors,5029504.000,272899.38
2018,3,7,28,Appliances,EMEA,JJ4,RAST 5 non-IDC,1558620.000,85101.93
2021,4,11,46,Appliances,EMEA,607,DW-All Other Dual Wall,168285.000,69057.92
2021,4,11,47,Appliances,EMEA,JJ4,RAST 5 non-IDC,1523100.000,160140.46
2021,2,6,23,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1185500.000,138036.94
2021,1,2,8,Appliances,EMEA,405,RAST 2.5 Connectors,6448724.000,339280.06
2021,2,4,17,Appliances,EMEA,JJ4,RAST 5 non-IDC,1976980.000,125783.50
2022,3,9,38,Appliances,EMEA,715,Polyolefins ETC,229950.260,90986.33
2020,3,8,33,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,6021500.000,180202.41
2018,3,9,36,Appliances,EMEA,Z24,Relay RZ-Series,537375.000,229312.66
2015,4,10,42,Appliances,EMEA,715,Polyolefins ETC,495378.800,110686.99
2015,4,11,48,Appliances,EMEA,G59,Appliance Miniature PCB Relays,262985.000,75537.84
2019,1,3,11,Appliances,EMEA,G59,Appliance Miniature PCB Relays,556000.000,136851.83
2016,4,11,45,Appliances,EMEA,327,Positive Lock,1598000.000,39818.10
2019,4,10,41,Appliances,EMEA,214,FASTON Terminals - Premier & Commercial,5394669.000,128351.16
2018,3,9,37,Appliances,EMEA,715,Polyolefins ETC,190910.640,107070.20
2019,2,5,19,Appliances,EMEA,327,Positive Lock,2695400.000,54024.61
2015,2,4,17,Appliances,EMEA,JJ4,RAST 5 non-IDC,1661600.000,133645.55
2019,4,11,46,Appliances,EMEA,G59,Appliance Miniature PCB Relays,173000.000,42811.56
2017,3,7,29,Appliances,EMEA,JJ4,RAST 5 non-IDC,642180.000,54129.13
2017,3,8,32,Appliances,EMEA,A07,Faston Power Relays,103973.000,123155.72
2019,3,8,35,Appliances,EMEA,239,MICRO MATE-N-LOK,230212.000,43305.85
2019,1,2,7,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,917700.000,104303.60
2017,2,4,15,Appliances,EMEA,405,RAST 2.5 Connectors,5290064.000,293626.13
2016,2,5,19,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,412600.000,13870.92
2016,3,7,29,Appliances,EMEA,405,RAST 2.5 Connectors,4719016.000,280712.58
2019,1,3,11,Appliances,EMEA,405,RAST 2.5 Connectors,4278016.000,226880.38
2019,3,9,38,Appliances,EMEA,Z24,Relay RZ-Series,360216.000,166848.02
2017,3,8,35,Appliances,EMEA,237,Commercial MATE-N-LOK Connectors,181500.000,20411.57
2016,4,12,52,Appliances,EMEA,607,DW-All Other Dual Wall,38152.000,52796.63
2019,3,7,29,Appliances,EMEA,Z24,Relay RZ-Series,290000.000,126640.52
2016,2,5,19,Appliances,EMEA,405,RAST 2.5 Connectors,8570592.000,492968.81
2015,4,12,49,Appliances,EMEA,238,Mini-Universal MATE-N-LOK Connectors,1137800.000,76471.56
