fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value,GDP_value.1,DATE_x,CSENT,Interest_rate
2021,1,1,1,Application Tooling Group,Americas,42,Assembled Applicators,1889.0,237310.23,24349.121,22313.85,2021-01-01,79.0,0.25
2021,3,9,38,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,108.0,84766.68,23046.934,23550.42,2021-09-01,72.8,
2020,4,11,47,Application Tooling Group,Americas,42,Assembled Applicators,2097.0,995207.44,21362.428,21704.706,2020-11-01,76.9,0.25
2022,4,11,45,Application Tooling Group,Americas,42,Assembled Applicators,1955.0,316602.88,25723.941,26144.956,2022-11-01,56.8,
2018,2,4,15,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,98.0,14929.64,20155.486,20470.197,2018-04-01,98.8,2.25
2022,4,12,52,Application Tooling Group,Americas,43,Pin Insertion Machines,9.0,8809.0,25723.941,26144.956,2022-12-01,59.7,
2021,3,8,32,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,5.0,758.91,23046.934,23550.42,2021-08-01,70.3,0.25
2020,1,2,5,Application Tooling Group,Americas,42,Assembled Applicators,1926.0,261492.66,21704.706,21538.032,2020-02-01,101.0,2.25
2021,3,9,39,Application Tooling Group,Americas,150,Miscellaneous Tools,535.0,115956.18,23046.934,23550.42,2021-09-01,72.8,
2021,3,8,31,Application Tooling Group,Americas,389,Presses & Terminators,139.0,35905.72,23046.934,23550.42,2021-08-01,70.3,0.25
2020,4,10,42,Application Tooling Group,Americas,43,Pin Insertion Machines,3.0,6011.77,21362.428,21704.706,2020-10-01,81.8,0.25
2015,3,8,31,Application Tooling Group,Americas,43,Pin Insertion Machines,15.0,612943.58,18193.707,18306.96,2015-08-01,91.9,0.75
2017,2,4,16,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,142.0,206528.23,19148.194,19304.506,2017-04-01,97.0,1.5
2015,3,8,33,Application Tooling Group,Americas,389,Presses & Terminators,221.0,101317.48,18193.707,18306.96,2015-08-01,91.9,0.75
2016,2,5,20,Application Tooling Group,Americas,150,Miscellaneous Tools,203.0,37307.22,18425.306,18611.617,2016-05-01,94.7,1.0
2016,1,2,6,Application Tooling Group,Americas,150,Miscellaneous Tools,383.0,78556.67,18968.041,18425.306,2016-02-01,91.7,1.0
2016,1,1,3,Application Tooling Group,Americas,50,Insertion-Extraction Tools,22988.0,51241.1,18968.041,18425.306,2016-01-01,92.0,1.0
2018,4,12,52,Application Tooling Group,Americas,50,Insertion-Extraction Tools,58694.0,99854.23,20687.278,20819.269,2018-12-01,98.3,3.0
2015,3,7,27,Application Tooling Group,Americas,150,Miscellaneous Tools,334.0,52275.53,18193.707,18306.96,2015-07-01,93.1,0.75
2015,1,3,12,Application Tooling Group,Americas,148,Powered Crimp Tools,72.0,80103.75,18332.079,17991.348,2015-03-01,93.0,0.75
2015,2,5,20,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,71.0,54432.67,17991.348,18193.707,2015-05-01,90.7,0.75
2015,4,11,47,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,8.0,63761.48,18306.96,18332.079,2015-11-01,91.3,0.75
2015,3,7,30,Application Tooling Group,Americas,43,Pin Insertion Machines,22.0,12160.95,18193.707,18306.96,2015-07-01,93.1,0.75
2019,1,3,13,Application Tooling Group,Americas,51,Connector Seating Machines,10.0,88360.59,21706.532,21013.085,2019-03-01,98.4,3.0
2016,2,4,15,Application Tooling Group,Americas,43,Pin Insertion Machines,5.0,-2482.33,18425.306,18611.617,2016-04-01,89.0,1.0
2016,2,4,16,Application Tooling Group,Americas,43,Pin Insertion Machines,20.0,12285.7,18425.306,18611.617,2016-04-01,89.0,1.0
2017,1,2,6,Application Tooling Group,Americas,43,Pin Insertion Machines,3.0,2569.95,19894.75,19148.194,2017-02-01,96.3,1.25
2022,2,5,22,Application Tooling Group,Americas,51,Connector Seating Machines,6.0,90966.0,24740.48,25248.476,2022-05-01,58.4,
2022,4,10,40,Application Tooling Group,Americas,43,Pin Insertion Machines,11.0,5254.0,25723.941,26144.956,2022-10-01,59.9,
2021,3,7,30,Application Tooling Group,Americas,152,Magnet Wire Application Equipment,158.0,76243.38,23046.934,23550.42,2021-07-01,81.2,0.25
2019,2,6,24,Application Tooling Group,Americas,51,Connector Seating Machines,5.0,106774.86,21013.085,21272.448,2019-06-01,98.2,3.0
2017,2,4,17,Application Tooling Group,Americas,43,Pin Insertion Machines,11.0,23043.14,19148.194,19304.506,2017-04-01,97.0,1.5
2020,1,3,13,Application Tooling Group,Americas,43,Pin Insertion Machines,3.0,1778.0,21704.706,21538.032,2020-03-01,89.1,0.25
2022,2,5,20,Application Tooling Group,Americas,390,Automatic Wire Handling Equipment,6.0,1384.4,24740.48,25248.476,2022-05-01,58.4,
2015,4,11,45,Application Tooling Group,Americas,148,Powered Crimp Tools,40.0,45062.09,18306.96,18332.079,2015-11-01,91.3,0.75
2015,2,4,15,Application Tooling Group,Americas,148,Powered Crimp Tools,100.0,23784.31,17991.348,18193.707,2015-04-01,95.9,0.75
2018,2,6,23,Application Tooling Group,Americas,50,Insertion-Extraction Tools,19881.0,53322.37,20155.486,20470.197,2018-06-01,98.2,2.5
