fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value,GDP_value
2016,1,2,6,Channel - Appliances,Americas,104,MTA 100 & CSTII 100,1416512.04,163876.64,18968.041,18425.306
2016,1,2,8,Channel - Appliances,Americas,104,MTA 100 & CSTII 100,1231749.6,142501.42,18968.041,18425.306
2016,1,2,9,Channel - Appliances,Americas,104,MTA 100 & CSTII 100,1046987.16,121126.21,18968.041,18425.306
2016,1,2,5,Channel - Appliances,Americas,104,MTA 100 & CSTII 100,1231749.6,142501.42,18968.041,18425.306
2016,1,2,7,Channel - Appliances,Americas,104,MTA 100 & CSTII 100,1231749.6,142501.42,18968.041,18425.306
2016,3,7,29,Channel - Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1449452.2,120761.96,18611.617,18775.459
2016,3,7,27,Channel - Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1087089.15,90571.47,18611.617,18775.459
2016,3,7,28,Channel - Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1242387.6,103510.25,18611.617,18775.459
2016,3,7,30,Channel - Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1345919.9,112136.11,18611.617,18775.459
2021,1,1,4,Channel - Appliances,Americas,236,Universal  MATE-N-LOK Connectors,7696055.25,485865.16,24349.121,22313.85
2021,1,1,2,Channel - Appliances,Americas,236,Universal  MATE-N-LOK Connectors,6772528.62,427561.34,24349.121,22313.85
2021,1,1,3,Channel - Appliances,Americas,236,Universal  MATE-N-LOK Connectors,8619581.88,544168.98,24349.121,22313.85
2021,1,1,1,Channel - Appliances,Americas,236,Universal  MATE-N-LOK Connectors,7696055.25,485865.16,24349.121,22313.85
2015,4,11,48,Channel - Appliances,Americas,217,Ultra-Fast,5163705.75,352485.44,18306.96,18332.079
2015,4,11,45,Channel - Appliances,Americas,217,Ultra-Fast,4917815.0,335700.42,18306.96,18332.079
2015,4,11,46,Channel - Appliances,Americas,217,Ultra-Fast,4917815.0,335700.42,18306.96,18332.079
2015,4,11,47,Channel - Appliances,Americas,217,Ultra-Fast,4917815.0,335700.42,18306.96,18332.079
2015,4,11,44,Channel - Appliances,Americas,217,Ultra-Fast,4671924.25,318915.39,18306.96,18332.079
2015,1,2,9,Channel - Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,1681782.0,249378.52,18332.079,17991.348
2015,1,2,7,Channel - Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,1765871.1,261847.45,18332.079,17991.348
2015,1,2,8,Channel - Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,1681782.0,249378.52,18332.079,17991.348
2015,1,2,5,Channel - Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,1597692.9,236909.6,18332.079,17991.348
2015,1,2,6,Channel - Appliances,Americas,238,Mini-Universal MATE-N-LOK Connectors,1765871.1,261847.45,18332.079,17991.348
2018,1,3,13,Channel - Appliances,Americas,103,MTA & SL 156,889121.16,86032.46,20819.269,20155.486
2018,1,3,11,Channel - Appliances,Americas,103,MTA & SL 156,1383077.36,133828.27,20819.269,20155.486
2018,1,3,10,Channel - Appliances,Americas,103,MTA & SL 156,1383077.36,133828.27,20819.269,20155.486
2018,1,3,12,Channel - Appliances,Americas,103,MTA & SL 156,1284286.12,124269.11,20819.269,20155.486
2018,4,10,41,Channel - Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1483376.0,119577.93,20687.278,20819.269
2018,4,10,40,Channel - Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1364705.92,110011.7,20687.278,20819.269
2018,4,10,43,Channel - Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1542711.04,124361.05,20687.278,20819.269
2018,4,10,42,Channel - Appliances,Americas,237,Commercial MATE-N-LOK Connectors,1483376.0,119577.93,20687.278,20819.269
2018,4,12,50,Channel - Appliances,Americas,236,Universal  MATE-N-LOK Connectors,6931598.55,477473.21,20687.278,20819.269
2018,4,12,49,Channel - Appliances,Americas,236,Universal  MATE-N-LOK Connectors,6931598.55,477473.21,20687.278,20819.269
2018,4,12,51,Channel - Appliances,Americas,236,Universal  MATE-N-LOK Connectors,7835720.1,539752.32,20687.278,20819.269
2018,4,12,52,Channel - Appliances,Americas,236,Universal  MATE-N-LOK Connectors,8438467.8,581271.73,20687.278,20819.269
2020,4,11,46,Channel - Appliances,Americas,217,Ultra-Fast,5174454.87,330612.33,21362.428,21704.706
2020,4,11,44,Channel - Appliances,Americas,217,Ultra-Fast,5174454.87,330612.33,21362.428,21704.706
2020,4,11,45,Channel - Appliances,Americas,217,Ultra-Fast,5719134.33,365413.62,21362.428,21704.706
2020,4,11,48,Channel - Appliances,Americas,217,Ultra-Fast,5446794.6,348012.98,21362.428,21704.706
