fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP_value,GDP_value.1,DATE_x,CSENT,Interest_rate,Inflation
2016,1,2,9,Channel - Data and Devices,Americas,E79,MULTI-BEAM Product Family,10485.15,16427.81,18968.041,18425.306,2016-02-01,91.7,1.0,2.5442092
2016,1,2,7,Channel - Data and Devices,Americas,E79,MULTI-BEAM Product Family,11037.0,17292.43,18968.041,18425.306,2016-02-01,91.7,1.0,2.5442092
2016,1,2,5,Channel - Data and Devices,Americas,E79,MULTI-BEAM Product Family,10485.15,16427.81,18968.041,18425.306,2016-02-01,91.7,1.0,2.5442092
2016,1,2,6,Channel - Data and Devices,Americas,E79,MULTI-BEAM Product Family,12140.7,19021.68,18968.041,18425.306,2016-02-01,91.7,1.0,2.5442092
2016,1,2,8,Channel - Data and Devices,Americas,E79,MULTI-BEAM Product Family,11037.0,17292.43,18968.041,18425.306,2016-02-01,91.7,1.0,2.5442092
2016,1,3,12,Channel - Data and Devices,Americas,884,Miscellaneous Micro Min Surface Mount,11370.9,27745.87,18968.041,18425.306,2016-03-01,91.0,1.0,2.531878
2016,1,3,10,Channel - Data and Devices,Americas,884,Miscellaneous Micro Min Surface Mount,8234.1,20091.84,18968.041,18425.306,2016-03-01,91.0,1.0,2.531878
2016,1,3,11,Channel - Data and Devices,Americas,884,Miscellaneous Micro Min Surface Mount,9018.3,22005.35,18968.041,18425.306,2016-03-01,91.0,1.0,2.531878
2016,1,3,13,Channel - Data and Devices,Americas,884,Miscellaneous Micro Min Surface Mount,10586.7,25832.37,18968.041,18425.306,2016-03-01,91.0,1.0,2.531878
2016,2,4,15,Channel - Data and Devices,Americas,289,Miscellaneous Wire to Board Products,195367.2,19422.89,18425.306,18611.617,2016-04-01,89.0,1.0,2.537996
2016,2,4,17,Channel - Data and Devices,Americas,289,Miscellaneous Wire to Board Products,195367.2,19422.89,18425.306,18611.617,2016-04-01,89.0,1.0,2.537996
2016,2,4,14,Channel - Data and Devices,Americas,289,Miscellaneous Wire to Board Products,97683.6,9711.45,18425.306,18611.617,2016-04-01,89.0,1.0,2.537996
2016,2,4,16,Channel - Data and Devices,Americas,289,Miscellaneous Wire to Board Products,209322.0,20810.24,18425.306,18611.617,2016-04-01,89.0,1.0,2.537996
2016,2,5,18,Channel - Data and Devices,Americas,K85,Spring Fingers & Pogo Pins,89562.69,9378.66,18425.306,18611.617,2016-05-01,94.7,1.0,2.5711572
2016,2,5,21,Channel - Data and Devices,Americas,K85,Spring Fingers & Pogo Pins,77880.6,8155.35,18425.306,18611.617,2016-05-01,94.7,1.0,2.5711572
2016,2,5,19,Channel - Data and Devices,Americas,K85,Spring Fingers & Pogo Pins,81774.63,8563.12,18425.306,18611.617,2016-05-01,94.7,1.0,2.5711572
2016,2,5,20,Channel - Data and Devices,Americas,K85,Spring Fingers & Pogo Pins,46728.36,4893.21,18425.306,18611.617,2016-05-01,94.7,1.0,2.5711572
2016,2,5,22,Channel - Data and Devices,Americas,K85,Spring Fingers & Pogo Pins,93456.72,9786.42,18425.306,18611.617,2016-05-01,94.7,1.0,2.5711572
2016,3,7,28,Channel - Data and Devices,Americas,056,Legacy IC Socket and Accessories,102790.32,46376.1,18611.617,18775.459,2016-07-01,90.0,1.0,2.5758512
2016,3,7,30,Channel - Data and Devices,Americas,056,Legacy IC Socket and Accessories,124204.97,56037.79,18611.617,18775.459,2016-07-01,90.0,1.0,2.5758512
2016,3,7,27,Channel - Data and Devices,Americas,056,Legacy IC Socket and Accessories,85658.6,38646.75,18611.617,18775.459,2016-07-01,90.0,1.0,2.5758512
2016,3,7,29,Channel - Data and Devices,Americas,056,Legacy IC Socket and Accessories,115639.11,52173.12,18611.617,18775.459,2016-07-01,90.0,1.0,2.5758512
2016,3,8,35,Channel - Data and Devices,Americas,073,Standard Modular Jacks,165116.82,82308.03,18611.617,18775.459,2016-08-01,89.8,1.0,2.7228064
