fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP,CSENT,Interest_rate,Inflation
2016,3,7,29,Channel - Industrial,Americas,210,SOLISTRAND Splices Size 2 & Larger,34361.04,48818.19,18775.459,90.0,1.0,2.5758512
2016,3,7,27,Channel - Industrial,Americas,210,SOLISTRAND Splices Size 2 & Larger,20862.06,29639.62,18775.459,90.0,1.0,2.5758512
2016,3,7,30,Channel - Industrial,Americas,210,SOLISTRAND Splices Size 2 & Larger,35588.22,50561.7,18775.459,90.0,1.0,2.5758512
2016,3,7,28,Channel - Industrial,Americas,210,SOLISTRAND Splices Size 2 & Larger,31906.68,45331.18,18775.459,90.0,1.0,2.5758512
2016,3,9,39,Channel - Industrial,Americas,Z81,LOUVERTAC,8653.75,20589.33,18775.459,91.2,1.0,2.6321032
2016,3,9,38,Channel - Industrial,Americas,Z81,LOUVERTAC,6181.25,14706.66,18775.459,91.2,1.0,2.6321032
2016,3,9,36,Channel - Industrial,Americas,Z81,LOUVERTAC,4697.75,11177.06,18775.459,91.2,1.0,2.6321032
2016,3,9,37,Channel - Industrial,Americas,Z81,LOUVERTAC,5192.25,12353.6,18775.459,91.2,1.0,2.6321032
2017,1,2,6,Channel - Industrial,Americas,002,AMPMODU System 50,26181.2,52192.78,19148.194,96.3,1.25,2.67446
2017,1,2,7,Channel - Industrial,Americas,002,AMPMODU System 50,26181.2,52192.78,19148.194,96.3,1.25,2.67446
2017,1,2,9,Channel - Industrial,Americas,002,AMPMODU System 50,31417.44,62631.33,19148.194,96.3,1.25,2.67446
2017,1,2,5,Channel - Industrial,Americas,002,AMPMODU System 50,24872.14,49583.14,19148.194,96.3,1.25,2.67446
2017,1,2,8,Channel - Industrial,Americas,002,AMPMODU System 50,23563.08,46973.5,19148.194,96.3,1.25,2.67446
2017,1,3,13,Channel - Industrial,Americas,Z33,Relay RT-Series TES,17149.68,22945.19,19148.194,96.9,1.5,2.453344
2017,1,3,11,Channel - Industrial,Americas,Z33,Relay RT-Series TES,18578.82,24857.29,19148.194,96.9,1.5,2.453344
2017,1,3,10,Channel - Industrial,Americas,Z33,Relay RT-Series TES,17149.68,22945.19,19148.194,96.9,1.5,2.453344
2017,1,3,12,Channel - Industrial,Americas,Z33,Relay RT-Series TES,17864.25,23901.24,19148.194,96.9,1.5,2.453344
2022,2,4,17,Channel - Industrial,Americas,G30,Relay HF-Series,4653.32,38136.04,25248.476,65.2,,4.721803
2022,2,4,16,Channel - Industrial,Americas,G30,Relay HF-Series,4985.7,40860.04,25248.476,65.2,,4.721803
2022,2,4,15,Channel - Industrial,Americas,G30,Relay HF-Series,4154.75,34050.03,25248.476,65.2,,4.721803
2022,2,4,14,Channel - Industrial,Americas,G30,Relay HF-Series,2825.23,23154.02,25248.476,65.2,,4.721803
2021,2,4,17,Channel - Industrial,Americas,277,"AMPMODU Mod IV, V",1036719.0,148263.34,23046.934,88.3,0.25,2.262331
2021,2,4,16,Channel - Industrial,Americas,277,"AMPMODU Mod IV, V",967604.4,138379.12,23046.934,88.3,0.25,2.262331
2021,2,4,15,Channel - Industrial,Americas,277,"AMPMODU Mod IV, V",967604.4,138379.12,23046.934,88.3,0.25,2.262331
2021,2,4,14,Channel - Industrial,Americas,277,"AMPMODU Mod IV, V",483802.2,69189.56,23046.934,88.3,0.25,2.262331
2015,4,10,42,Channel - Industrial,Americas,013,AMPMODU Breakaway Headers,185180.06,56045.26,18332.079,90.0,0.75,2.3462109
2015,4,10,43,Channel - Industrial,Americas,013,AMPMODU Breakaway Headers,192302.37,58200.85,18332.079,90.0,0.75,2.3462109
2015,4,10,41,Channel - Industrial,Americas,013,AMPMODU Breakaway Headers,170935.44,51734.09,18332.079,90.0,0.75,2.3462109
2015,4,10,40,Channel - Industrial,Americas,013,AMPMODU Breakaway Headers,163813.13,49578.5,18332.079,90.0,0.75,2.3462109
2015,4,10,42,Channel - Industrial,Americas,440,Dynamic Series,156914.94,57275.18,18332.079,90.0,0.75,2.3462109
2015,4,10,43,Channel - Industrial,Americas,440,Dynamic Series,162950.13,59478.07,18332.079,90.0,0.75,2.3462109
2015,4,10,41,Channel - Industrial,Americas,440,Dynamic Series,144844.56,52869.4,18332.079,90.0,0.75,2.3462109
2015,4,10,40,Channel - Industrial,Americas,440,Dynamic Series,138809.37,50666.5,18332.079,90.0,0.75,2.3462109
2015,4,10,42,Channel - Industrial,Americas,015,AMPMODU Unshrouded Headers,29832.66,23412.01,18332.079,90.0,0.75,2.3462109
2015,4,10,43,Channel - Industrial,Americas,015,AMPMODU Unshrouded Headers,30980.07,24312.47,18332.079,90.0,0.75,2.3462109
2015,4,10,41,Channel - Industrial,Americas,015,AMPMODU Unshrouded Headers,27537.84,21611.09,18332.079,90.0,0.75,2.3462109
2015,4,10,40,Channel - Industrial,Americas,015,AMPMODU Unshrouded Headers,26390.43,20710.62,18332.079,90.0,0.75,2.3462109
2015,4,11,44,Channel - Industrial,Americas,201,Miscellaneous LP & Tape Mounted Terminals,28086.3,22298.32,18332.079,91.3,0.75,2.4052606
2015,4,11,47,Channel - Industrial,Americas,201,Miscellaneous LP & Tape Mounted Terminals,32767.35,26014.7,18332.079,91.3,0.75,2.4052606
2015,4,11,46,Channel - Industrial,Americas,201,Miscellaneous LP & Tape Mounted Terminals,29646.65,23537.11,18332.079,91.3,0.75,2.4052606
2015,4,11,48,Channel - Industrial,Americas,201,Miscellaneous LP & Tape Mounted Terminals,34327.7,27253.5,18332.079,91.3,0.75,2.4052606
