fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP,CSENT,Interest_rate,Inflation
2021,3,8,32,Energy,Americas,749,Cold Applied Low Voltage,15234.0,198344.8,23550.42,70.3,0.25,2.343064
2021,1,1,3,Energy,Americas,751,Cold Applied MV Terminations,1407.0,81350.82,22313.85,79.0,0.25,1.517012
2021,3,7,29,Energy,Americas,751,Cold Applied MV Terminations,2990.0,151318.57,23550.42,81.2,0.25,2.315464
2021,2,5,19,Energy,Americas,751,Cold Applied MV Terminations,3564.0,141577.95,23046.934,82.9,0.25,2.623164
2021,3,8,35,Energy,Americas,KA4,EPDM 600A Switchgear connector,6643.0,633088.49,23550.42,70.3,0.25,2.343064
2021,4,11,44,Energy,Americas,814,Underground Line Bolted Connection Products,3896.0,118785.77,24349.121,67.4,,3.21432
2020,3,7,30,Energy,Americas,KA4,EPDM 600A Switchgear connector,5337.0,683082.37,21362.428,72.5,0.25,2.348857
2016,4,12,49,Energy,Americas,364,AMPACT,62301.0,246492.51,18968.041,98.2,1.25,2.594944
2017,2,6,26,Energy,Americas,Z72,ILD/ TWC,1054.0,137857.95,19304.506,95.0,1.75,2.13853
2015,4,11,48,Energy,Americas,750,Cold Applied Medium Voltage Joints,17380.0,488246.45,18332.079,91.3,0.75,2.4052606
2015,3,9,38,Energy,Americas,760,Raysulate,21409.102,523442.17,18306.96,87.2,0.75,2.279431
2015,3,9,36,Energy,Americas,750,Cold Applied Medium Voltage Joints,900.0,209688.65,18306.96,87.2,0.75,2.279431
2018,3,9,39,Energy,Americas,E78,BOW HV Arresters,104.0,175314.09,20687.278,100.1,2.75,2.461933
2017,3,8,35,Energy,Americas,760,Raysulate,20267.871,641521.08,19561.896,96.8,1.75,2.089832
2016,1,1,3,Energy,Americas,Z72,ILD/ TWC,292.0,85142.83,18425.306,92.0,1.0,2.4667222
2022,4,12,51,Energy,Americas,827,High Voltage Clamps & Connectors,574.0,6766.36,26144.956,59.7,,6.617223
2021,2,4,15,Energy,Americas,753,Heatshrink MV Terminations,6139.0,268676.1,23046.934,88.3,0.25,2.262331
2020,2,5,22,Energy,Americas,752,Heatshrink Medium Voltage Joints,2522.0,559469.2,19636.731,72.3,0.25,2.084208
2020,1,1,4,Energy,Americas,749,Cold Applied Low Voltage,19937.0,370522.45,21538.032,99.8,2.25,2.797067
2018,1,2,6,Energy,Americas,E78,BOW HV Arresters,135.0,55782.91,20155.486,99.7,2.0,2.131896
2019,3,8,35,Energy,Americas,E78,BOW HV Arresters,48.0,59622.41,21531.839,89.8,2.75,2.629246
2018,1,2,8,Energy,Americas,E82,DC components for Solar farms,7004.0,6991.82,20155.486,99.7,2.0,2.131896
2015,3,7,27,Energy,Americas,760,Raysulate,17416.745,273753.66,18306.96,93.1,0.75,2.1414477
2015,4,11,44,Energy,Americas,748,High Voltage Cable Accessories,12.0,11531.57,18332.079,91.3,0.75,2.4052606
2016,3,9,38,Energy,Americas,750,Cold Applied Medium Voltage Joints,808.0,141704.5,18775.459,91.2,1.0,2.6321032
2015,3,8,33,Energy,Americas,814,Underground Line Bolted Connection Products,3153.0,51009.92,18306.96,91.9,0.75,2.1802398
2015,4,12,50,Energy,Americas,749,Cold Applied Low Voltage,10645.0,154886.31,18332.079,92.6,1.0,2.4436874
2017,4,12,51,Energy,Americas,KA4,EPDM 600A Switchgear connector,1075.0,220565.25,19894.75,95.9,2.0,2.125472
2018,3,7,28,Energy,Americas,E78,BOW HV Arresters,27.0,17675.04,20687.278,97.9,2.5,2.519634
2015,2,4,16,Energy,Americas,814,Underground Line Bolted Connection Products,4315.0,117314.77,18193.707,95.9,0.75,2.0631236
2017,3,8,33,Energy,Americas,814,Underground Line Bolted Connection Products,1534.0,41338.79,19561.896,96.8,1.75,2.089832
2017,1,1,2,Energy,Americas,F14,Utilux-Lugs & Links,60668.0,91895.33,19148.194,98.5,1.25,2.661562
2015,2,5,21,Energy,Americas,Z72,ILD/ TWC,724.0,115634.28,18193.707,90.7,0.75,2.0668869
2015,2,6,25,Energy,Americas,757,Nuclear Accessories,1586.0,111903.88,18193.707,96.1,0.75,2.1147326
2018,4,12,50,Energy,Americas,827,High Voltage Clamps & Connectors,237.0,63199.9,20819.269,98.3,3.0,2.46437
2019,3,8,31,Energy,Americas,F14,Utilux-Lugs & Links,76498.0,102484.31,21531.839,89.8,2.75,2.629246
2016,2,6,25,Energy,Americas,F14,Utilux-Lugs & Links,69583.0,103786.56,18611.617,93.5,1.0,2.5689022
2019,3,9,38,Energy,Americas,E82,DC components for Solar farms,8000.0,14126.11,21531.839,93.2,2.5,2.606767
2017,4,10,42,Energy,Americas,757,Nuclear Accessories,227.0,20314.15,19894.75,100.7,1.75,2.192819
2019,4,11,46,Energy,Americas,757,Nuclear Accessories,680.0,70194.44,21706.532,96.8,2.25,2.768217
