fiscal_year_historical,fiscal_quarter_historical,fiscal_month_historical,fiscal_week_historical,business_unit_group_name,company_region_name_level_1,product_line_code,product_line_name,sales_quantity,sales_amount,GDP,CSENT,Interest_rate,Inflation
2021,4,10,40,Industrial,Americas,712,System 6,385500.0,73045.81,24349.121,71.7,,3.035619
2022,4,12,50,Industrial,Americas,240,MR Connectors,135240.0,73873.76,26144.956,59.7,,6.617223
2022,2,5,18,Industrial,Americas,Z45,Cable Assemblies / NIC,22139.0,107187.61,25248.476,58.4,,4.985582
2021,2,4,16,Industrial,Americas,402,Micro-MaTch,279405.0,65007.42,23046.934,88.3,0.25,2.262331
2022,4,11,46,Industrial,Americas,525,Custom  Prj Electro-Mech RA,34064.0,333761.85,26144.956,56.8,,6.471178
2022,4,11,46,Industrial,Americas,ABO,SNA Automation,128869.0,137601.25,26144.956,56.8,,6.471178
2022,3,7,29,Industrial,Americas,ABR,SNK Power,88724.0,83118.23,25723.941,51.5,,5.625329
2022,2,5,18,Industrial,Americas,AI8,Wire and Cable Identification,965000.0,46167.02,25248.476,58.4,,4.985582
2022,1,1,2,Industrial,Americas,ABR,SNK Power,43796.0,41365.52,24740.48,67.2,,3.988659
2022,1,1,3,Industrial,Americas,ABN,SNK Automation,60895.0,42750.88,24740.48,67.2,,3.988659
2021,2,6,26,Industrial,Americas,F50,Facility Filters,28.0,94078.57,23046.934,85.5,0.25,2.588579
2020,3,8,32,Industrial,Americas,LV3,Commodity Resistors,3744249.0,36839.78,21362.428,74.1,0.25,2.288978
2020,3,7,28,Industrial,Americas,ABO,SNA Automation,65895.0,51832.34,21362.428,72.5,0.25,2.348857
2020,1,1,2,Industrial,Americas,ABO,SNA Automation,137819.0,111976.51,21538.032,99.8,2.25,2.797067
2020,1,3,11,Industrial,Americas,ABT,Accessories,126788.0,79096.13,21538.032,89.1,0.25,2.647379
2022,2,4,15,Industrial,Americas,956,Circuit Breakers,56357.0,126553.27,25248.476,65.2,,4.721803
2022,2,4,15,Industrial,Americas,G41,Power Resistorsfor PCB,365650.0,49220.48,25248.476,65.2,,4.721803
2022,4,10,43,Industrial,Americas,LV3,Commodity Resistors,9497000.0,141717.63,26144.956,59.9,,6.364809
2022,2,6,26,Industrial,Americas,LV3,Commodity Resistors,1142119.0,51379.26,25248.476,50.0,,5.422337
2022,1,1,4,Industrial,Americas,ABT,Accessories,118688.0,68486.25,24740.48,67.2,,3.988659
2022,1,2,7,Industrial,Americas,ABT,Accessories,103073.0,44604.42,24740.48,62.8,,4.30707
2021,2,6,25,Industrial,Americas,214,FASTON Terminals - Premier & Commercial,6922000.0,93507.02,23046.934,85.5,0.25,2.588579
2021,3,9,36,Industrial,Americas,217,Ultra-Fast,460700.0,17274.51,23550.42,72.8,,2.638383
2021,1,3,12,Industrial,Americas,LV1,Power Resistor Off The Board,1467.0,22024.17,22313.85,84.9,0.25,1.706984
2021,4,10,42,Industrial,Americas,F50,Facility Filters,24.0,99813.84,24349.121,71.7,,3.035619
2021,1,3,13,Industrial,Americas,G41,Power Resistorsfor PCB,524205.0,50537.92,22313.85,84.9,0.25,1.706984
2020,1,3,11,Industrial,Americas,Z45,Cable Assemblies / NIC,19911.0,113989.11,21538.032,89.1,0.25,2.647379
2020,2,4,14,Industrial,Americas,Z44,Cable Assemblies PP,3932.0,155822.08,19636.731,71.8,0.25,2.226352
2020,4,10,40,Industrial,Americas,ABT,Accessories,66467.0,42187.43,21704.706,81.8,0.25,1.842159
2020,1,2,5,Industrial,Americas,124,Eurostyle Terminal Blocks,65116.0,186144.3,21538.032,101.0,2.25,2.812936
2015,4,11,48,Industrial,Americas,712,System 6,361725.76,117550.59,18332.079,91.3,0.75,2.4052606
2019,2,5,19,Industrial,Americas,712,System 6,829350.0,246779.35,21272.448,100.0,3.0,2.39723
2019,3,9,36,Industrial,Americas,ABR,SNK Power,79356.0,86568.41,21531.839,93.2,2.5,2.606767
2018,1,3,12,Industrial,Americas,A50,Slide Switches,119392.0,34396.8,20155.486,101.4,2.25,2.369197
2017,4,12,52,Industrial,Americas,A50,Slide Switches,192815.0,97623.47,19894.75,95.9,2.0,2.125472
2019,1,2,5,Industrial,Americas,A50,Slide Switches,189740.0,58786.69,21013.085,93.8,3.0,2.376648
2018,2,4,15,Industrial,Americas,A50,Slide Switches,178265.0,52863.28,20470.197,98.8,2.25,2.493423
2019,2,6,23,Industrial,Americas,A50,Slide Switches,13014.0,10760.85,21272.448,98.2,3.0,2.421751
2015,2,6,26,Industrial,Americas,234,Metrimate Connectors,58362.0,145548.59,18193.707,96.1,0.75,2.1147326
2019,4,10,40,Industrial,Americas,204,SOLISTRAND Terminals & Splices,304990.0,31343.18,21706.532,95.5,2.25,2.733341
2015,2,5,21,Industrial,Americas,B77,4G COM Relay IM,168000.0,79256.01,18193.707,90.7,0.75,2.0668869
2017,4,10,41,Industrial,Americas,215,FASTON Terminals - Pre-Insulated,252385.0,31713.3,19894.75,100.7,1.75,2.192819
2017,2,5,19,Industrial,Americas,228,AMPOWER,2767.0,28112.44,19304.506,97.1,1.5,2.155911
2015,4,11,46,Industrial,Americas,097,PIDG Terminals and Splices,1236394.0,135023.48,18332.079,91.3,0.75,2.4052606
2019,3,7,27,Industrial,Americas,230,Multimate Contacts,1282611.0,406077.81,21531.839,98.4,3.0,2.460848
2019,3,9,36,Industrial,Americas,124,Eurostyle Terminal Blocks,400643.0,181077.09,21531.839,93.2,2.5,2.606767
2016,4,11,47,Industrial,Americas,240,MR Connectors,165535.0,28800.39,18968.041,93.8,1.0,2.5258013
2019,3,7,27,Industrial,Americas,231,M Series and V.35 Connectors,33770.0,38538.4,21531.839,98.4,3.0,2.460848
2016,2,6,24,Industrial,Americas,240,MR Connectors,155487.0,49472.67,18611.617,93.5,1.0,2.5689022
2018,1,1,4,Industrial,Americas,240,MR Connectors,152473.0,72504.52,20155.486,95.7,2.0,2.166305
2019,1,2,8,Industrial,Americas,240,MR Connectors,270050.0,79459.2,21013.085,93.8,3.0,2.376648
2018,2,6,26,Industrial,Americas,F52,Thin Film,135250.0,27693.91,20470.197,98.2,2.5,2.553219
2019,3,8,35,Industrial,Americas,A46,Barrier Style Terminal Blocks,70248.0,43871.52,21531.839,89.8,2.75,2.629246
2020,2,6,25,Industrial,Americas,712,System 6,256475.0,35517.49,19636.731,78.1,0.25,2.058146
2020,2,4,14,Industrial,Americas,Z33,Relay RT-Series TES,3000.0,2919.3,19636.731,71.8,0.25,2.226352
2020,2,5,22,Industrial,Americas,F45,DP Contactors,3271.0,33523.08,19636.731,72.3,0.25,2.084208
2021,1,2,9,Industrial,Americas,277,"AMPMODU Mod IV, V",239569.0,35484.93,22313.85,76.8,0.25,1.527009
2022,1,1,3,Industrial,Americas,G59,Appliance Miniature PCB Relays,504000.0,127642.9,24740.48,67.2,,3.988659
2022,1,3,13,Industrial,Americas,A46,Barrier Style Terminal Blocks,76350.0,49988.69,24740.48,59.4,,4.558423
2020,1,2,9,Industrial,Americas,096,Other Insulated Terminals and Splices,45801.0,50707.44,21538.032,101.0,2.25,2.812936
2022,2,5,18,Industrial,Americas,Z33,Relay RT-Series TES,39000.0,53689.67,25248.476,58.4,,4.985582
2020,2,5,19,Industrial,Americas,A05,Force Guided Relays,11575.0,54560.29,19636.731,72.3,0.25,2.084208
2020,2,5,21,Industrial,Americas,F45,DP Contactors,3524.0,34360.38,19636.731,72.3,0.25,2.084208
2021,3,8,31,Industrial,Americas,G59,Appliance Miniature PCB Relays,154000.0,39334.2,23550.42,70.3,0.25,2.343064
2021,3,7,30,Industrial,Americas,G59,Appliance Miniature PCB Relays,17000.0,4250.0,23550.42,81.2,0.25,2.315464
2022,3,8,33,Industrial,Americas,Z23,Street Light Connectivity,102288.0,360518.86,25723.941,58.2,,5.991705
2022,4,10,42,Industrial,Americas,Z81,LOUVERTAC,6000.0,14141.82,26144.956,59.9,,6.364809
2020,1,2,8,Industrial,Americas,G30,Relay HF-Series,10001.0,62908.92,21538.032,101.0,2.25,2.812936
2022,2,4,17,Industrial,Americas,Z23,Street Light Connectivity,37596.0,137418.82,25248.476,65.2,,4.721803
2022,1,2,7,Industrial,Americas,F89,Power Line Others,3470.0,52005.12,24740.48,62.8,,4.30707
2022,3,8,33,Industrial,Americas,402,Micro-MaTch,144670.0,62071.12,25723.941,58.2,,5.991705
2021,3,8,35,Industrial,Americas,G83,M8/M12 Connectors,52146.0,153028.4,23550.42,70.3,0.25,2.343064
2021,3,9,36,Industrial,Americas,002,AMPMODU System 50,53850.0,90603.61,23550.42,72.8,,2.638383
2021,3,7,27,Industrial,Americas,103,MTA & SL 156,790250.0,47015.48,23550.42,81.2,0.25,2.315464
2021,2,5,18,Industrial,Americas,E32,Switches and Knobs,25034.0,40448.12,23046.934,82.9,0.25,2.623164
2021,2,5,18,Industrial,Americas,A46,Barrier Style Terminal Blocks,73013.0,34489.54,23046.934,82.9,0.25,2.623164
2021,1,3,11,Industrial,Americas,J37,Industrial Communication Cable Assemblies,932.0,9393.76,22313.85,84.9,0.25,1.706984
2021,3,9,39,Industrial,Americas,ABS,Distribution Blocks,1944.0,41586.28,23550.42,72.8,,2.638383
2022,4,10,43,Industrial,Americas,096,Other Insulated Terminals and Splices,207375.0,32208.0,26144.956,59.9,,6.364809
2022,2,6,23,Industrial,Americas,G83,M8/M12 Connectors,28417.0,132276.41,25248.476,50.0,,5.422337
2022,1,3,11,Industrial,Americas,F49,Power Entry Enhanced Performance,20305.0,240687.38,24740.48,59.4,,4.558423
2020,4,11,48,Industrial,Americas,G60,Relay RT-Series,179596.0,179697.26,21704.706,76.9,0.25,1.798587
2020,3,8,35,Industrial,Americas,Z44,Cable Assemblies PP,6315.0,105670.65,21362.428,74.1,0.25,2.288978
